Time/Groups, B20-01, B20-02, B20-03, B20-04, B20-05, B20-06, B19-01, B19-02, B19-03, B19-04, B19-05, B19-06
9:00, Discrete Mathematics (lec) 108, Discrete Mathematics (lec) 108, Discrete Mathematics (lec) 108, Discrete Mathematics (lec) 108, Discrete Mathematics (lec) 108, Discrete Mathematics (lec) 108, Differential Equations (lec) 107, Differential Equations (lec) 107, Differential Equations (lec) 107, Differential Equations (lec) 107, Differential Equations (lec) 107, Differential Equations (lec) 107, 
10:40, Discrete Mathematics (tut) 108, Discrete Mathematics (tut) 108, Discrete Mathematics (tut) 108, Discrete Mathematics (tut) 108, Discrete Mathematics (tut) 108, Discrete Mathematics (tut) 108, Differential Equations (tut) 107, Differential Equations (tut) 107, Differential Equations (tut) 107, Differential Equations (tut) 107, Differential Equations (tut) 107, Differential Equations (tut) 107, 
12:40, Fundamentals of Philosophy (Logic) (lec) 107, Fundamentals of Philosophy (Logic) (lec) 107, Fundamentals of Philosophy (Logic) (lec) 107, Fundamentals of Philosophy (Logic) (lec) 107,  ,  ,  ,  ,  ,  ,  ,  , 
14:20, Discrete Mathematics (lab1) 212, Discrete Mathematics (lab2) 211, Discrete Mathematics (lab3) 210, Fundamentals of Philosophy (Logic) (lab4) 209,  ,  , Differential Equations (lab1) 214,  , Differential Equations (lab3) 213,  ,  ,  , 
16:00, Fundamentals of Philosophy (Logic) (lab1) 209,  , Fundamentals of Philosophy (Logic) (lab3) 208, Discrete Mathematics (lab4) 212, Discrete Mathematics (lab5) 211, Discrete Mathematics (lab6) 210,  , Differential Equations (lab2) 214,  , Differential Equations (lab4) 213,  ,  , 
17:40,  , Fundamentals of Philosophy (Logic) (lab2) 213,  ,  ,  ,  ,  ,  ,  ,  , Differential Equations (lab5) 214,  , 
19:20,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Differential Equations (lab6) 214, 
------------, ---------------, --------------, ---------------, ---------------, --------------, ------------, ---------------, --------------, ---------------, ---------------, --------------, 
9:00,  ,  ,  ,  , Mathematical Analysis 1 (lec) 107, Mathematical Analysis 1 (lec) 107, Fundamentals of Software Engineering (lec) 108, Fundamentals of Software Engineering (lec) 108, Fundamentals of Software Engineering (lec) 108, Fundamentals of Software Engineering (lec) 108, Fundamentals of Software Engineering (lec) 108, Fundamentals of Software Engineering (lec) 108, 
10:40, Programming Software Systems 1 (lec) 108, Programming Software Systems 1 (lec) 108, Programming Software Systems 1 (lec) 108, Programming Software Systems 1 (lec) 108, Mathematical Analysis 1 (tut) 107, Mathematical Analysis 1 (tut) 107,  ,  ,  ,  ,  ,  , 
